rollout_batch,priority,status,source_type,source_title,source_url,cluster,hub_anchor,hub_link_location,commercial_target,commercial_anchor,related_link_1,related_link_2,related_link_3,related_link_4,temp_copy_url,backup_status,review_status,reviewer,published_at,notes
pilot,P1,manual_ready,blog,Ultimate Aquarium Snail Care Guide,https://aquaticmotiv.com/blogs/news/ultimate-aquarium-snail-care-guide,snails,freshwater planted tank guide,lower third after choosing or stocking section,https://aquaticmotiv.com/collections/snails,shop freshwater aquarium snails,https://aquaticmotiv.com/blogs/news/the-mystery-snail-care-guide-keeping-pomacea-bridgesii-thriving,https://aquaticmotiv.com/blogs/news/nerite-snail-care-guide-the-best-algae-eaters-for-your-tank,https://aquaticmotiv.com/blogs/news/rabbit-snail-care-guide-the-fascinating-tylomelania-genus,https://aquaticmotiv.com/blogs/news/assassin-snail-care-guide-care-diet-behavior-parameters-habitat-health,,pending,draft,,,Start here; broadest snail authority page.
pilot,P1,manual_ready,blog,Assassin Snail Care Guide,https://aquaticmotiv.com/blogs/news/assassin-snail-care-guide-care-diet-behavior-parameters-habitat-health,snails,planted tank care guide,lower third after tank setup or compatibility section,https://aquaticmotiv.com/collections/assassin-snails,shop assassin snails,https://aquaticmotiv.com/blogs/news/ultimate-aquarium-snail-care-guide,https://aquaticmotiv.com/blogs/news/nerite-snail-care-guide-the-best-algae-eaters-for-your-tank,https://aquaticmotiv.com/blogs/news/the-mystery-snail-care-guide-keeping-pomacea-bridgesii-thriving,https://aquaticmotiv.com/blogs/news/rabbit-snail-care-guide-the-fascinating-tylomelania-genus,,pending,draft,,,High priority because local SEO docs flag assassin-snail cannibalization.
pilot,P1,manual_ready,blog,Nerite Snail Care Guide,https://aquaticmotiv.com/blogs/news/nerite-snail-care-guide-the-best-algae-eaters-for-your-tank,snails,freshwater planted aquarium guide,lower third after algae or tankmate section,https://aquaticmotiv.com/collections/nerite-snails,shop nerite snails,https://aquaticmotiv.com/blogs/news/ultimate-aquarium-snail-care-guide,https://aquaticmotiv.com/blogs/news/nerite-snails-algae-cleaners,https://aquaticmotiv.com/blogs/news/nerite-snails-vs-mystery-snails-best-choice-for-your-aquarium-aquatic-motiv,https://aquaticmotiv.com/blogs/news/can-nerite-snails-reproduce-in-freshwater,,pending,draft,,,Protect existing nerite rankings and reinforce algae-eater cluster.
pilot,P1,manual_ready,blog,Mystery Snail Care Guide,https://aquaticmotiv.com/blogs/news/the-mystery-snail-care-guide-keeping-pomacea-bridgesii-thriving,snails,freshwater aquarium plant and livestock guide,lower third after diet or tank setup section,https://aquaticmotiv.com/collections/mystery-snails,shop mystery snails,https://aquaticmotiv.com/blogs/news/ultimate-aquarium-snail-care-guide,https://aquaticmotiv.com/blogs/news/mystery-snails-diet,https://aquaticmotiv.com/blogs/news/mystery-snails-are-perfect-for-beginner-tanks,https://aquaticmotiv.com/blogs/news/nerite-snails-vs-mystery-snails-best-choice-for-your-aquarium-aquatic-motiv,,pending,draft,,,Connect commercial mystery-snail signal to care content.
pilot,P1,manual_ready,blog,Rabbit Snail Care Guide,https://aquaticmotiv.com/blogs/news/rabbit-snail-care-guide-the-fascinating-tylomelania-genus,snails,freshwater planted tank guide,lower third after habitat or tankmate section,https://aquaticmotiv.com/collections/rabbit-snails,shop rabbit snails,https://aquaticmotiv.com/blogs/news/ultimate-aquarium-snail-care-guide,https://aquaticmotiv.com/blogs/news/rabbit-snails-with-mystery-nerite,https://aquaticmotiv.com/blogs/news/rabbit-snails-tylomelania-aquascaping,https://aquaticmotiv.com/blogs/news/the-mystery-snail-care-guide-keeping-pomacea-bridgesii-thriving,,pending,draft,,,Use as fifth manual pilot page.
batch-1,P2,batch_ready,blog,Trapdoor Snails for Outdoor Ponds,https://aquaticmotiv.com/blogs/news/trapdoor-snails-in-outdoor-ponds,snails,outdoor and planted aquarium care guide,lower third after pond or tank setup section,https://aquaticmotiv.com/collections/trapdoor-snails,shop trapdoor snails,https://aquaticmotiv.com/blogs/news/ultimate-aquarium-snail-care-guide,https://aquaticmotiv.com/blogs/news/rabbit-snail-care-guide-the-fascinating-tylomelania-genus,https://aquaticmotiv.com/blogs/news/snails-are-essential-for-a-self-sustaining-aquarium,https://aquaticmotiv.com/blogs/news/best-snail-pack-balanced-aquarium,,pending,draft,,,First temp-copy batch after pilot.
batch-1,P2,batch_ready,blog,Nerite Snails vs. Mystery Snails,https://aquaticmotiv.com/blogs/news/nerite-snails-vs-mystery-snails-best-choice-for-your-aquarium-aquatic-motiv,snails,freshwater planted tank guide,lower third after comparison recommendation,https://aquaticmotiv.com/collections/nerite-snails,shop nerite snails,https://aquaticmotiv.com/blogs/news/nerite-snail-care-guide-the-best-algae-eaters-for-your-tank,https://aquaticmotiv.com/blogs/news/the-mystery-snail-care-guide-keeping-pomacea-bridgesii-thriving,https://aquaticmotiv.com/blogs/news/ultimate-aquarium-snail-care-guide,https://aquaticmotiv.com/blogs/news/mystery-snails-diet,,pending,draft,,,Comparison page should cross-link both species guides.
batch-1,P2,batch_ready,blog,Why Nerite Snails Are the Best Algae Cleaners,https://aquaticmotiv.com/blogs/news/nerite-snails-algae-cleaners,snails,planted aquarium care guide,lower third after algae-cleaning discussion,https://aquaticmotiv.com/collections/nerite-snails,shop nerite snails,https://aquaticmotiv.com/blogs/news/nerite-snail-care-guide-the-best-algae-eaters-for-your-tank,https://aquaticmotiv.com/blogs/news/can-nerite-snails-reproduce-in-freshwater,https://aquaticmotiv.com/blogs/news/ultimate-aquarium-snail-care-guide,https://aquaticmotiv.com/blogs/news/how-to-get-rid-of-black-beard-algae,,pending,draft,,,Bridge algae content to planted-tank hub.
batch-1,P2,batch_ready,blog,Why Snails Are Essential for Your Tank,https://aquaticmotiv.com/blogs/news/snails-are-essential-for-a-self-sustaining-aquarium,snails,freshwater planted tank guide,lower third after ecosystem or balance section,https://aquaticmotiv.com/collections/snails,shop aquarium snails,https://aquaticmotiv.com/blogs/news/ultimate-aquarium-snail-care-guide,https://aquaticmotiv.com/blogs/news/best-snail-pack-balanced-aquarium,https://aquaticmotiv.com/blogs/news/nerite-snails-algae-cleaners,https://aquaticmotiv.com/blogs/news/mystery-snails-diet,,pending,draft,,,Good ecosystem article for hub authority.
batch-1,P2,batch_ready,blog,Why Aquascapers Love Rabbit Snails,https://aquaticmotiv.com/blogs/news/rabbit-snails-tylomelania-aquascaping,snails,freshwater planted tank guide,lower third after aquascaping or hardscape section,https://aquaticmotiv.com/collections/rabbit-snails,shop rabbit snails,https://aquaticmotiv.com/blogs/news/rabbit-snail-care-guide-the-fascinating-tylomelania-genus,https://aquaticmotiv.com/blogs/news/rabbit-snails-with-mystery-nerite,https://aquaticmotiv.com/blogs/news/ultimate-aquarium-snail-care-guide,https://aquaticmotiv.com/blogs/news/snails-are-essential-for-a-self-sustaining-aquarium,,pending,draft,,,Completes first five-page temp-copy batch.
